id_code,diagnosis
IM0001.000,-100
IM0001.001,-100
IM0002.000,-100
IM0002.001,-100
IM0003.000,-100
IM0003.001,-100
IM0004.000,-100
IM0004.001,-100
IM0005.000,-100
IM0005.001,-100
IM0006.000,-100
IM0006.001,-100
IM0007.000,-100
IM0007.001,-100
IM0008.000,-100
IM0008.001,-100
IM0009.000,-100
IM0009.001,-100
IM0010.000,-100
IM0010.001,-100
IM0011.000,-100
IM0011.001,-100
IM0012.000,-100
IM0012.001,-100
IM0013.000,-100
IM0013.001,-100
IM0014.000,-100
IM0014.001,-100
IM0015.000,-100
IM0015.001,-100
IM0016.000,-100
IM0016.001,-100
IM0017.000,-100
IM0017.001,-100
IM0018.000,-100
IM0018.001,-100
IM0019.000,-100
IM0019.001,-100
IM0020.000,-100
IM0020.001,-100
IM0021.000,-100
IM0021.001,-100
IM0022.000,-100
IM0022.001,-100
IM0023.000,-100
IM0023.001,-100
IM0024.000,-100
IM0024.001,-100
IM0025.000,-100
IM0025.001,-100
IM0026.000,-100
IM0026.001,-100
IM0027.000,-100
IM0027.001,-100
IM0028.000,-100
IM0028.001,-100
IM0029.000,-100
IM0029.001,-100
IM0030.000,-100
IM0030.001,-100
IM0031.000,-100
IM0031.001,-100
IM0032.000,-100
IM0032.001,-100
IM0033.000,-100
IM0033.001,-100
IM0034.000,-100
IM0034.001,-100
IM0035.000,-100
IM0035.001,-100
IM0036.000,-100
IM0036.001,-100
IM0037.000,-100
IM0037.001,-100
IM0038.000,-100
IM0038.001,-100
IM0039.000,-100
IM0039.001,-100
IM0040.000,-100
IM0040.001,-100
IM0041.000,-100
IM0041.001,-100
IM0042.000,-100
IM0042.001,-100
IM0043.000,-100
IM0043.001,-100
IM0044.000,-100
IM0044.001,-100
IM0045.000,-100
IM0045.001,-100
IM0046.000,-100
IM0046.001,-100
IM0047.000,-100
IM0047.001,-100
IM0048.000,-100
IM0048.001,-100
IM0049.000,-100
IM0049.001,-100
IM0050.000,-100
IM0050.001,-100
IM0051.000,-100
IM0051.001,-100
IM0052.000,-100
IM0052.001,-100
IM0053.000,-100
IM0053.001,-100
IM0054.000,-100
IM0054.001,-100
IM0055.000,-100
IM0055.001,-100
IM0056.000,-100
IM0056.001,-100
IM0057.000,-100
IM0057.001,-100
IM0058.000,-100
IM0058.001,-100
IM0059.000,-100
IM0059.001,-100
IM0060.000,-100
IM0060.001,-100
IM0061.000,-100
IM0061.001,-100
IM0062.000,-100
IM0062.001,-100
IM0063.000,-100
IM0063.001,-100
IM0064.000,-100
IM0064.001,-100
IM0065.000,-100
IM0065.001,-100
IM0066.000,-100
IM0066.001,-100
IM0067.000,-100
IM0067.001,-100
IM0068.000,-100
IM0068.001,-100
IM0069.000,-100
IM0069.001,-100
IM0070.000,-100
IM0070.001,-100
IM0071.000,-100
IM0071.001,-100
IM0072.000,-100
IM0072.001,-100
IM0073.000,-100
IM0073.001,-100
